timestamp,open,high,low,close
1762024200000,4001.505,4001.505,4001.505,4001.505
1762024500000,4001.505,4001.505,4001.505,4001.505
1762024800000,4001.505,4001.505,4001.505,4001.505
1762025100000,4001.505,4001.505,4001.505,4001.505
1762025400000,4001.505,4001.505,4001.505,4001.505
1762025700000,4001.505,4001.505,4001.505,4001.505
1762026000000,4001.505,4001.505,4001.505,4001.505
1762026300000,4001.505,4001.505,4001.505,4001.505
1762026600000,4001.505,4001.505,4001.505,4001.505
1762026900000,4001.505,4001.505,4001.505,4001.505
1762027200000,4001.505,4001.505,4001.505,4001.505
1762027500000,4001.505,4001.505,4001.505,4001.505
1762027800000,4001.505,4001.505,4001.505,4001.505
1762028100000,4001.505,4001.505,4001.505,4001.505
1762028400000,4001.505,4001.505,4001.505,4001.505
1762028700000,4001.505,4001.505,4001.505,4001.505
1762029000000,4001.505,4001.505,4001.505,4001.505
1762029300000,4001.505,4001.505,4001.505,4001.505
1762029600000,4001.505,4001.505,4001.505,4001.505
1762029900000,4001.505,4001.505,4001.505,4001.505
1762030200000,4001.505,4001.505,4001.505,4001.505
1762030500000,4001.505,4001.505,4001.505,4001.505
1762030800000,4001.505,4001.505,4001.505,4001.505
1762031100000,4001.505,4001.505,4001.505,4001.505
1762031400000,4001.505,4001.505,4001.505,4001.505
1762031700000,4001.505,4001.505,4001.505,4001.505
1762032000000,4001.505,4001.505,4001.505,4001.505
1762032300000,4001.505,4001.505,4001.505,4001.505
1762032600000,4001.505,4001.505,4001.505,4001.505
1762032900000,4001.505,4001.505,4001.505,4001.505
1762033200000,4001.505,4001.505,4001.505,4001.505
1762033500000,4001.505,4001.505,4001.505,4001.505
1762033800000,4001.505,4001.505,4001.505,4001.505
1762034100000,4001.505,4001.505,4001.505,4001.505
1762034400000,4001.505,4001.505,4001.505,4001.505
1762034700000,4001.505,4001.505,4001.505,4001.505
1762035000000,4001.505,4001.505,4001.505,4001.505
1762035300000,4001.505,4001.505,4001.505,4001.505
1762035600000,4001.505,4001.505,4001.505,4001.505
1762035900000,4001.505,4001.505,4001.505,4001.505
1762036200000,4001.505,4001.505,4001.505,4001.505
1762036500000,4001.505,4001.505,4001.505,4001.505
1762036800000,4001.505,4001.505,4001.505,4001.505
1762037100000,4001.505,4001.505,4001.505,4001.505
1762037400000,4001.505,4001.505,4001.505,4001.505
1762037700000,4001.505,4001.505,4001.505,4001.505
1762038000000,4001.505,4001.505,4001.505,4001.505
1762038300000,4001.505,4001.505,4001.505,4001.505
1762038600000,4001.505,4001.505,4001.505,4001.505
1762038900000,4001.505,4001.505,4001.505,4001.505
1762039200000,4001.505,4001.505,4001.505,4001.505
1762039500000,4001.505,4001.505,4001.505,4001.505
1762039800000,4001.505,4001.505,4001.505,4001.505
1762040100000,4001.505,4001.505,4001.505,4001.505
1762040400000,4001.505,4001.505,4001.505,4001.505
1762040700000,4001.505,4001.505,4001.505,4001.505
1762041000000,4001.505,4001.505,4001.505,4001.505
1762041300000,4001.505,4001.505,4001.505,4001.505
1762041600000,4001.505,4001.505,4001.505,4001.505
1762041900000,4001.505,4001.505,4001.505,4001.505
1762042200000,4001.505,4001.505,4001.505,4001.505
1762042500000,4001.505,4001.505,4001.505,4001.505
1762042800000,4001.505,4001.505,4001.505,4001.505
1762043100000,4001.505,4001.505,4001.505,4001.505
1762043400000,4001.505,4001.505,4001.505,4001.505
1762043700000,4001.505,4001.505,4001.505,4001.505
1762044000000,4001.505,4001.505,4001.505,4001.505
1762044300000,4001.505,4001.505,4001.505,4001.505
1762044600000,4001.505,4001.505,4001.505,4001.505
1762044900000,4001.505,4001.505,4001.505,4001.505
1762045200000,4001.505,4001.505,4001.505,4001.505
1762045500000,4001.505,4001.505,4001.505,4001.505
1762045800000,4001.505,4001.505,4001.505,4001.505
1762046100000,4001.505,4001.505,4001.505,4001.505
1762046400000,4001.505,4001.505,4001.505,4001.505
1762046700000,4001.505,4001.505,4001.505,4001.505
1762047000000,4001.505,4001.505,4001.505,4001.505
1762047300000,4001.505,4001.505,4001.505,4001.505
1762047600000,4001.505,4001.505,4001.505,4001.505
1762047900000,4001.505,4001.505,4001.505,4001.505
1762048200000,4001.505,4001.505,4001.505,4001.505
1762048500000,4001.505,4001.505,4001.505,4001.505
1762048800000,4001.505,4001.505,4001.505,4001.505
1762049100000,4001.505,4001.505,4001.505,4001.505
1762049400000,4001.505,4001.505,4001.505,4001.505
1762049700000,4001.505,4001.505,4001.505,4001.505
1762050000000,4001.505,4001.505,4001.505,4001.505
1762050300000,4001.505,4001.505,4001.505,4001.505
1762050600000,4001.505,4001.505,4001.505,4001.505
1762050900000,4001.505,4001.505,4001.505,4001.505
1762051200000,4001.505,4001.505,4001.505,4001.505
1762051500000,4001.505,4001.505,4001.505,4001.505
1762051800000,4001.505,4001.505,4001.505,4001.505
1762052100000,4001.505,4001.505,4001.505,4001.505
1762052400000,4001.505,4001.505,4001.505,4001.505
1762052700000,4001.505,4001.505,4001.505,4001.505
1762053000000,4001.505,4001.505,4001.505,4001.505
1762053300000,4001.505,4001.505,4001.505,4001.505
1762053600000,4001.505,4001.505,4001.505,4001.505
1762053900000,4001.505,4001.505,4001.505,4001.505
1762054200000,4001.505,4001.505,4001.505,4001.505
1762054500000,4001.505,4001.505,4001.505,4001.505
1762054800000,4001.505,4001.505,4001.505,4001.505
1762055100000,4001.505,4001.505,4001.505,4001.505
1762055400000,4001.505,4001.505,4001.505,4001.505
1762055700000,4001.505,4001.505,4001.505,4001.505
1762056000000,4001.505,4001.505,4001.505,4001.505
1762056300000,4001.505,4001.505,4001.505,4001.505
1762056600000,4001.505,4001.505,4001.505,4001.505
1762056900000,4001.505,4001.505,4001.505,4001.505
1762057200000,4001.505,4001.505,4001.505,4001.505
1762057500000,4001.505,4001.505,4001.505,4001.505
1762057800000,4001.505,4001.505,4001.505,4001.505
1762058100000,4001.505,4001.505,4001.505,4001.505
1762058400000,4001.505,4001.505,4001.505,4001.505
1762058700000,4001.505,4001.505,4001.505,4001.505
1762059000000,4001.505,4001.505,4001.505,4001.505
1762059300000,4001.505,4001.505,4001.505,4001.505
1762059600000,4001.505,4001.505,4001.505,4001.505
1762059900000,4001.505,4001.505,4001.505,4001.505
1762060200000,4001.505,4001.505,4001.505,4001.505
1762060500000,4001.505,4001.505,4001.505,4001.505
1762060800000,4001.505,4001.505,4001.505,4001.505
1762061100000,4001.505,4001.505,4001.505,4001.505
1762061400000,4001.505,4001.505,4001.505,4001.505
1762061700000,4001.505,4001.505,4001.505,4001.505
1762062000000,4001.505,4001.505,4001.505,4001.505
1762062300000,4001.505,4001.505,4001.505,4001.505
1762062600000,4001.505,4001.505,4001.505,4001.505
1762062900000,4001.505,4001.505,4001.505,4001.505
1762063200000,4001.505,4001.505,4001.505,4001.505
1762063500000,4001.505,4001.505,4001.505,4001.505
1762063800000,4001.505,4001.505,4001.505,4001.505
1762064100000,4001.505,4001.505,4001.505,4001.505
1762064400000,4001.505,4001.505,4001.505,4001.505
1762064700000,4001.505,4001.505,4001.505,4001.505
1762065000000,4001.505,4001.505,4001.505,4001.505
1762065300000,4001.505,4001.505,4001.505,4001.505
1762065600000,4001.505,4001.505,4001.505,4001.505
1762065900000,4001.505,4001.505,4001.505,4001.505
1762066200000,4001.505,4001.505,4001.505,4001.505
1762066500000,4001.505,4001.505,4001.505,4001.505
1762066800000,4001.505,4001.505,4001.505,4001.505
1762067100000,4001.505,4001.505,4001.505,4001.505
1762067400000,4001.505,4001.505,4001.505,4001.505
1762067700000,4001.505,4001.505,4001.505,4001.505
1762068000000,4001.505,4001.505,4001.505,4001.505
1762068300000,4001.505,4001.505,4001.505,4001.505
1762068600000,4001.505,4001.505,4001.505,4001.505
1762068900000,4001.505,4001.505,4001.505,4001.505
1762069200000,4001.505,4001.505,4001.505,4001.505
1762069500000,4001.505,4001.505,4001.505,4001.505
1762069800000,4001.505,4001.505,4001.505,4001.505
1762070100000,4001.505,4001.505,4001.505,4001.505
1762070400000,4001.505,4001.505,4001.505,4001.505
1762070700000,4001.505,4001.505,4001.505,4001.505
1762071000000,4001.505,4001.505,4001.505,4001.505
1762071300000,4001.505,4001.505,4001.505,4001.505
1762071600000,4001.505,4001.505,4001.505,4001.505
1762071900000,4001.505,4001.505,4001.505,4001.505
1762072200000,4001.505,4001.505,4001.505,4001.505
1762072500000,4001.505,4001.505,4001.505,4001.505
